Taxa,GY-IF-XX-2014,GY-IF-ZX-2014,GY-IF-XX-2015,GY-IF-ZX-2015,GY-RN-XX-2014,GY-RN-ZX-2014,GY-RN-XX-2015,GY-RN-ZX-2015,GY-RP-XX-2014,GY-RP-ZX-2014,GY-RP-XX-2015,GY-RP-ZX-2015,TGW-IF-XX-2014,TGW-IF-ZX-2014,TGW-IF-XX-2015,TGW-IF-ZX-2015,TGW-RN-XX-2014,TGW-RN-ZX-2014,TGW-RN-XX-2015,TGW-RN-ZX-2015,TGW-RP-XX-2014,TGW-RP-ZX-2014,TGW-RP-XX-2015,TGW-RP-ZX-2015,GL-IF-XX-2014,GL-IF-ZX-2014,GL-IF-XX-2015,GL-IF-ZX-2015,GL-RN-XX-2014,GL-RN-ZX-2013,GL-RN-XX-2015,GL-RN-ZX-2015,GL-RP-XX-2013,GL-RP-ZX-2013,GL-RP-XX-2015,GL-RP-ZX-2015,GW-IF-XX-2014,GW-IF-ZX-2014,GW-IF-XX-2015,GW-IF-ZX-2015,GW-RN-XX-2014,GW-RN-ZX-2014,GW-RN-XX-2015,GW-RN-ZX-2015,GW-RP-XX-2014,GW-RP-ZX-2014,GW-RP-XX-2015,GW-RP-ZX-2015,GNS-IF-XX-2014,GNS-IF-ZX-2014,GNS-IF-XX-2015,GNS-IF-ZX-2015,GNS-RN-XX-2014,GNS-RN-ZX-2014,GNS-RN-XX-2015,GNS-RN-ZX-2015,GNS-RP-XX-2014,GNS-RP-ZX-2014,GNS-RP-XX-2015,GNS-RP-ZX-2015,TN-IF-XX-2014,TN-IF-ZX-2014,TN-IF-XX-2015,TN-IF-ZX-2015,TN-RN-XX-2014,TN-RN-ZX-2014,TN-RN-XX-2015,TN-RN-ZX-2015,TN-RP-XX-2014,TN-RP-ZX-2014,TN-RP-XX-2015,TN-RP-ZX-2015,PH-IF-XX-2014,PH-RN-XX-2014,PH-RP-XX-2014,PH-IF-ZX-2014,PH-RN-ZX-2014,PH-RP-ZX-2014,PH-IF-XX-2015,PH-RN-XX-2015,PH-RP-XX-2015,PH-IF-ZX-2015,PH-RN-ZX-2015,PH-RP-ZX-2015
AM3.21,1200,1271.15,1168.33,1142.5,1018.66,716.15,1037.34,769,1168.75,1102.82,1076.67,1098.33,50.5,43.08,39.86,38.28,43.85,39.54,37.85,34.68,41.9,34.77,35.88,32.68,6.45,6.38,5.92,6.315,5.8,5.69,5.5,5.47,5.71,5.73,5.52,5.65,3.44,3.2,3.04,3.07,3.12,3.01,2.92,2.88,3.07,2.85,2.86,2.74,41.11,46.67,37.22,39.11,35.33,34.66,37.21,28.33,29.47,40.99,34.76,37.31,39.5,40.67,40.67,43.33,37.67,32,40.17,25.08,37.83,36.5,36.5,32.83,101.3333333,102,100,96,83.33333333,88,103.5555556,104.3333333,100.4444444,87.44444444,77.55555556,82.55555556
AM3.22,1240,1221.48,1178.33,1075.5,1090.66,687.48,906.66,591.17,1035.58,1027.82,1022.83,987.67,44.95,45.82,44.31,39.76,38.56,39.78,39.3,37.5,37.51,37.59,36.81,34.77,6.52,6.52,6.1,6.367666667,5.86,5.9,5.65,5.75,5.82,5.93,5.67,5.7,3.26,3.25,3.15,3.08,2.93,2.97,2.92,2.91,2.91,2.87,2.89,2.78,42.44,38.89,36,37.78,31.54,28.81,27.48,25.5,35.98,34.85,27.96,30.03,43.67,43.33,42.5,40.33,49.83,33.83,42.83,25.33,44.67,35.33,42,29.83,78.66666667,80,79,78.33333333,69.66666667,68,82.11111111,82.88888889,82.33333333,69.22222222,65.22222222,68.77777778
AM3.23,913.33,1021.48,1011.67,962.33,746.66,536.82,821.34,663.17,867,820.98,910.92,932.67,49.45,45.65,41.91,37.2,43.04,39.27,38.48,35.82,41.7,38.09,35.85,33.24,6.84,6.76,6.31,6.492666667,6.15,6.02,5.82,5.8,6.1,6.1,5.87,5.77,3.43,3.22,3.08,3,3.14,2.99,2.94,2.92,3.07,2.86,2.85,2.73,45.33,46.78,40.78,44.11,34.85,39.86,38.16,35.7,36.27,44.57,38.82,37.77,26,30.5,27.33,36.67,27.33,18.67,29.83,27.83,28.67,25,27.33,32.33,92.66666667,88.33333333,87.33333333,85.66666667,78,81.66666667,85.66666667,88.44444444,86.55555556,81.66666667,78,81
AM3.24,1226.67,1258.32,1166.67,1008.67,990.66,706.65,937.34,584.5,1079.5,1184.15,1018.58,1071.67,42.78,39.21,38.55,35.4,36.51,35.1,34.28,33.12,36.14,33.11,33.44,30.92,6.49,6.33,5.97,6.277,5.79,5.77,5.53,5.61,5.75,5.78,5.6,5.6,3.29,3.08,3.02,2.98,2.96,2.86,2.81,2.8,2.94,2.77,2.82,2.7,38,38.11,37.33,36.11,28.71,31.54,29.09,24.56,32.58,36.83,27.86,31.08,52,50,47.17,45.83,50.5,37,37.5,25.67,47.67,52.67,48.67,39.83,78.66666667,78.66666667,77.66666667,75.66666667,69.66666667,67,82.11111111,84,82.88888889,68.55555556,67.66666667,67.66666667
AM3.25,858.33,1053.15,776.67,940.5,644,652.65,740,537,804.67,857.82,784.83,887.83,54.48,46.72,40.74,39.9,45.9,46.62,35.55,44.51,45.83,39.34,33.74,38.82,7.08,6.9,6.44,6.765,6.31,6.26,5.86,6.16,6.26,6.31,5.96,6.14,3.66,3.38,3.13,3.18,3.27,3.3,2.92,3.23,3.24,3.03,2.89,3.03,37.56,44.89,37.44,40.44,30.03,30.79,38.91,22.67,33.24,35.89,41.84,36.83,35.33,38.67,29.5,36.33,35.5,25.5,35,24.67,37,31,33.83,29.83,54.33333333,51,53,54.33333333,54.33333333,49.66666667,55.66666667,55.44444444,56.33333333,50.44444444,54.77777778,48.44444444
AM3.26,1133.33,1270.98,1270,1261,1129.34,611.82,1012,632.67,1151.75,1084.48,1066.75,1089.5,49.86,48.18,43.74,40.12,42.25,40.17,39.07,39.11,41.31,39.46,38.3,35.97,6.54,6.47,6.03,6.253666667,5.79,5.72,5.5,5.69,5.72,5.8,5.64,5.59,3.48,3.41,3.21,3.2,3.14,3.09,3.04,3.05,3.09,3.02,3,2.91,40.67,35.89,38.33,33.56,29.84,28.99,29.47,23.52,33.34,37.49,29.66,30.97,35.83,44.83,50.67,42,46.5,27.67,49.5,22.58,41.67,41.67,49.83,38.83,77.33333333,75.33333333,74.66666667,71.33333333,64.66666667,65.33333333,73.55555556,77.11111111,76.22222222,66.55555556,64.33333333,65.66666667
AM3.27,1150,1317.82,1276.67,1119.33,1012,654.32,1049.34,642.67,1085.17,1118.32,1099.33,1086.67,50.94,51.05,47.59,42.67,43.84,44.99,41.95,43.57,42.73,42.4,40.6,38.62,6.64,6.6,6.13,6.496666667,5.87,5.96,5.61,5.9,5.89,6.03,5.69,5.86,3.46,3.43,3.26,3.18,3.11,3.18,3.05,3.12,3.1,3.05,3.01,2.93,43.44,44.44,41.22,39.44,34.19,32.39,29.75,29.27,31.93,40.71,32.21,35.7,40.33,34,37.5,37,36.5,22.83,35.67,19.83,36.33,30.33,33.83,30.5,81.66666667,80,80.33333333,78.33333333,72.66666667,73.33333333,84.33333333,83.44444444,84.77777778,74.88888889,70.55555556,72.77777778
AM3.28,1341.67,1443.48,1146.67,1274,994,785.65,1048,672.5,1044.08,1189.98,1010.08,1164.17,43.73,45.09,42.51,38.79,38.72,41.11,37.8,40.29,36.65,37.59,35.01,35.79,6.6,6.69,6.26,6.496333333,5.91,5.96,5.8,5.97,5.84,6.04,5.81,5.9,3.27,3.25,3.07,3.09,2.99,3.08,2.88,3.06,2.92,2.93,2.81,2.87,45.44,51,44.56,40.78,41.08,35.42,32.78,32.02,36.64,43.35,37.59,39.38,31,36,40.17,33.5,36.67,27.33,40,22.17,35.17,33.83,33.5,29,75.66666667,76,75,73.33333333,70.33333333,71.66666667,80,76.88888889,77.55555556,72.44444444,67.66666667,69.66666667
AM3.29,1146.67,1105.15,1228.33,868,1052,546.65,1033.34,485.67,1079.5,789.32,1105,809.33,56.67,50.41,47.01,44.03,47.32,46.55,42.3,43.74,46.79,42.12,39.24,38.78,7.06,6.79,6.24,6.653666667,6.22,6.11,5.74,6.02,6.21,6.21,5.73,5.98,3.59,3.41,3.24,3.26,3.18,3.21,3.05,3.14,3.2,3.07,2.93,2.96,46.11,44.44,47.22,41,37.77,30.69,39.67,23.04,34.85,43.16,37.31,31.93,32.17,28.67,35,28.5,30.5,22.33,32.67,21.83,32.67,26.83,36,24.17,72.66666667,72.66666667,71.33333333,71,69,68,79.77777778,78.33333333,78.66666667,66.22222222,67.11111111,63.33333333
AM3.30,1341.67,1502.65,1298.33,1325.5,1222.66,792.15,1060,777.17,1141.83,1270.82,1151.75,1241.33,50.56,49.49,42.93,39.78,43.06,42.03,39.56,39.02,42.87,38.99,36.57,35.26,6.52,6.51,6.05,6.27,5.84,5.86,5.59,5.7,5.79,5.83,5.49,5.68,3.49,3.43,3.14,3.16,3.14,3.11,2.98,3.02,3.13,2.98,2.87,2.88,46.22,46.44,45.67,40.67,36.36,33.24,33.63,28.14,41.17,49.3,35.22,41.84,29.5,35.33,34.17,31.67,34.5,23.83,34.83,20.58,37.33,35.83,40.83,29.5,75.33333333,76,73.66666667,74,68.66666667,71.66666667,80.22222222,78.33333333,78.66666667,69.33333333,67.22222222,68.22222222
AM3.31,1128.33,1068.82,983.33,1020.83,804,554.32,914.66,569.33,896.75,981.82,990.25,1004,44.97,45.45,38.94,40.16,38.24,37.86,34.45,35.11,38.15,37.62,34.7,33.75,5.98,5.87,5.5,5.721333333,5.26,5.37,5.1,5.16,5.28,5.3,5.06,5.14,3.44,3.41,3.14,3.25,3.1,3.09,2.93,3,3.09,3.03,2.93,2.9,54.78,52.56,51,44.22,41.84,39.47,45.99,32.96,43.07,47.69,42.87,42.59,28,30.83,30.67,32.83,34,19.5,21.83,18.33,32.33,27,29,25.33,67.66666667,67.33333333,67.66666667,65,62.33333333,64,71.55555556,72.77777778,70.66666667,61.44444444,61.55555556,61
AM3.32,1025,1009.98,891.67,868.83,846,642.4,838.66,596.17,915.88,956.15,868.42,907,42.43,40.63,35.84,35.09,36.66,33.99,34.51,33.74,36.28,32.99,33.48,30.07,6.21,6.17,5.78,6.079666667,5.54,5.5,5.38,5.39,5.51,5.64,5.33,5.45,3.36,3.24,3.06,3.08,3.04,2.93,2.95,2.97,3.03,2.86,2.89,2.76,59.83,66,45.56,55.22,43.63,48.03,43.44,43.26,51.28,55.11,48.26,43.63,26.5,27.33,26,26.83,22,16.5,22.83,20.58,28.5,24,25.67,25.33,80.5,79.5,77.5,71,61.5,71.5,82.11111111,82.66666667,80.44444444,64.33333333,63.77777778,64.55555556
AM3.33,1316.67,1260.32,1151.67,1084.33,986.66,775.32,957.34,625.17,1082.33,1105.82,981.75,1032.75,43.01,41.45,38.67,35.34,36.18,36.44,36.38,33.12,36.74,33.63,33.98,30.18,6.1,6.06,5.74,5.971666667,5.44,5.43,5.29,5.31,5.43,5.48,5.23,5.26,3.31,3.22,3.06,3.04,2.96,2.99,2.94,2.89,2.96,2.85,2.83,2.71,42,43.78,37.22,41.56,32.67,36.83,30.79,29.94,35.98,40.61,32.78,35.42,46,40.67,45,43.67,48.33,31.33,38,23,38.83,32.33,46.33,34.5,96.33333333,98.66666667,96,85.33333333,79.66666667,81.33333333,97.44444444,98.44444444,96.44444444,76.66666667,73.88888889,76.55555556
AM3.34,960,960.48,961.67,793.67,833.34,466.32,797.34,398,731,883.82,807.5,804.17,44.91,44.73,42.73,38.66,37.92,39.06,36.84,38.08,37.67,37,36.19,33.22,6.9,6.84,6.42,6.702,6.23,6.2,5.87,5.99,6.11,6.25,5.9,5.97,3.25,3.22,3.1,3.02,2.93,2.96,2.88,2.95,2.9,2.84,2.82,2.73,39.56,41.11,33.44,38.33,26.63,28.99,29.27,22.1,30.12,36.18,28.24,30.41,47.17,44.17,42.17,35.33,51.17,25.83,48.33,21.25,44.67,39.33,46,34.33,80.33333333,77.66666667,79.66666667,77,69.66666667,70.66666667,82.55555556,80.22222222,81.66666667,68.11111111,67.22222222,64.33333333
AM3.35,1195,1256.82,1206.67,1003,924,571.82,1048,570.5,1040.97,1072.15,1058.25,1021,50.66,48.57,42.65,41.48,43.02,43.76,39.1,41.57,42.4,39.57,36.32,36.91,6.63,6.54,6.02,6.396333333,5.93,5.88,5.58,5.8,5.86,5.91,5.52,5.76,3.47,3.37,3.14,3.17,3.11,3.1,2.97,3.09,3.08,2.98,2.87,2.92,41.89,46,43.11,42.44,32.96,32.3,36.46,30.03,34.66,39.58,35.89,33.72,38.17,37.83,35.83,33.67,38.33,21.33,43,21.5,38.33,33.17,40.5,27.67,73.66666667,70.66666667,70.66666667,71.66666667,65.66666667,66.66666667,79.44444444,78.33333333,76.88888889,63.88888889,65.55555556,65.44444444
AM3.36,1023.33,1048.48,1136.67,936,792,542.32,882.66,525.25,927.92,979.98,903.83,896.67,46.04,41.66,40.75,36.75,40.01,35.01,34.93,32.57,39.39,34.62,33.88,31.99,6.68,6.51,6.11,6.391333333,6.02,5.78,5.59,5.67,5.94,5.9,5.56,5.73,3.3,3.16,3.07,3.01,2.98,2.83,2.83,2.78,2.95,2.79,2.76,2.73,31.56,36.11,35.78,34.89,27.2,29.66,31.93,20.4,30.97,34.37,34.09,29.94,43.83,47,50.33,42,47.83,33.33,48.67,20.17,46.33,48.67,43.67,36.33,86.66666667,87.66666667,85,83,73.33333333,77,94.33333333,94.66666667,96.55555556,73,71.11111111,72.88888889
AM3.37,1086.67,1110.15,933.33,891.33,890.66,600.98,808,524.17,929.33,945.98,808.92,924,41.67,39.21,31.12,29.78,36.15,35.76,27.71,33.53,35.92,31.81,25.15,27.45,6.43,6.27,5.81,6.077,5.72,5.54,5.32,5.5,5.68,5.72,5.28,5.53,3.14,3.04,2.71,2.73,2.85,2.88,2.53,2.82,2.84,2.69,2.41,2.54,45.67,44.89,38.67,39.56,37.12,32.02,36.07,26.72,36.92,44.29,36.83,34.09,32.33,38.17,44.17,32.33,44.33,22.33,34.67,20.67,35,29.17,37.17,30.5,72.66666667,72.66666667,50.66666667,71.33333333,64,68.33333333,78.11111111,77.66666667,76.33333333,63.88888889,64.33333333,64.55555556
AM3.38,961.67,1021.65,863.33,814.5,633.34,512.82,738.66,530.33,782,902.48,759.33,825.5,40.4,38.39,35.4,35.15,34.1,31.77,31.53,29.43,34.5,30.46,31.39,29.15,5.92,5.99,5.58,5.869333333,5.3,5.33,5.09,5.12,5.24,5.42,5.06,5.26,3.26,3.18,2.99,3.04,2.9,2.78,2.8,2.74,2.91,2.78,2.75,2.75,38.44,41.11,34.89,35.56,31.26,29.56,32.02,28.71,36.36,37.88,32.58,30.88,51.17,43.83,49.33,38.17,49.67,29.5,49.67,23.67,48.33,43.67,44.83,36.17,120.3333333,115.3333333,117,113.6666667,98.66666667,110,120.3333333,117.7777778,118.7777778,99.66666667,97.55555556,101
AM3.39,1021.67,1137.65,1051.67,992.33,773.34,587.48,848,581.83,875.5,955.15,926.5,982.33,40.9,39.78,38.05,33.2,33.89,38.02,33.04,35.13,34.91,33.05,33.01,30.49,6.14,6.06,5.62,5.880666667,5.47,5.47,5.19,5.35,5.42,5.46,5.12,5.25,3.19,3.13,3.02,2.92,2.82,2.97,2.8,2.93,2.87,2.77,2.77,2.67,43.11,41.89,39,38.78,31.26,28.81,32.02,26.63,36.36,36.46,34.94,32.67,45,39.33,47.67,43.33,46.33,27.83,37.17,22.42,37.67,37.5,43.33,37,88.33333333,86.66666667,84.66666667,86,78.33333333,80.33333333,93.22222222,92.11111111,92.66666667,76.33333333,78.33333333,75.33333333
AM3.40,1098.33,1229.48,1091.67,1088.9,909.34,657.15,929.34,594.67,963.33,1046.15,927.92,1087,50.59,47.44,41.28,40.89,42.68,42.27,36.74,40.04,42.35,38.7,35.47,35.69,6.67,6.61,5.95,6.492,5.97,5.97,5.51,5.84,5.92,6.05,5.47,5.77,3.53,3.39,3.18,3.23,3.14,3.08,2.95,3.09,3.12,2.99,2.89,2.9,42.67,44.22,36.11,38.89,27.29,30.79,38.82,24.37,34.76,38.53,31.64,32.21,35.5,38,36.33,38.5,40.5,24.33,37.5,27.5,42.67,39.67,37.17,38.5,73,72.66666667,72.33333333,68.66666667,62.66666667,64.66666667,78.55555556,78.66666667,76.66666667,63.11111111,61.44444444,65.33333333
AM3.41,1108.33,1238.15,1186.67,972.5,958.66,526.82,948,733.33,1027.08,1091.32,993.08,986.33,45.29,45.43,41.03,39.76,37.44,40.09,37.3,37.67,37.91,39.01,35.1,34.21,6.1,6.12,5.67,6.182,5.35,5.54,5.28,5.44,5.42,5.63,5.17,5.39,3.42,3.37,3.18,3.19,3,3.08,3.02,3.05,3.02,3.01,2.9,2.85,36.33,42.89,39.78,37.56,32.39,31.36,31.93,27.68,34.28,36.83,30.12,29.84,42.33,47,53.33,37.5,48.33,31.83,48.33,31.08,49.83,37,38,37.83,77.66666667,76,65,74.66666667,71.66666667,69,80.22222222,79.88888889,78.44444444,67.55555556,71.77777778,66.66666667
AM3.42,1141.67,1116.65,1236.67,1027,944,699.48,912,664.5,1028.5,922.48,942.08,930,49.24,46.36,43.27,36.92,42.39,40.74,40.28,35.67,42.68,38.86,35.58,31.58,7.04,6.93,6.47,6.443666667,6.32,6.23,6,6.05,6.22,6.31,5.82,6.01,3.34,3.23,3.06,2.98,3,2.96,2.92,2.83,3.03,2.9,2.74,2.62,40.22,44.78,43.11,37.56,34.85,27.39,32.49,20.59,36.18,37.77,33.15,32.39,40.67,38,47.33,38.67,39.67,28,41.33,26.33,37.33,32.17,38.33,32.83,71.66666667,74.33333333,73,67,61.33333333,61.33333333,80.55555556,78,79.22222222,60.33333333,63.44444444,60.88888889
AM3.43,1170,1303.32,1315,994.33,926,722.32,962.66,626.5,969,976.65,1003,1038.83,52.63,54.21,46.9,44.7,44.8,46.07,44.68,43.55,44.88,44.02,39.07,39.38,6.54,6.6,6.11,6.492,5.86,5.91,5.66,5.81,5.85,5.94,5.56,5.68,3.58,3.6,3.28,3.28,3.2,3.22,3.17,3.19,3.22,3.17,2.98,2.99,42.89,42.33,53.33,36.44,32.11,27.57,33.81,25.31,35.98,41.74,38.44,32.21,39.67,40.67,36.83,37.5,43.5,22.33,33.67,22.25,35.5,28.5,41.67,35,71.66666667,71.66666667,70.33333333,71.66666667,63.33333333,63.66666667,76.88888889,77.22222222,74.77777778,61.55555556,66,61.11111111
AM3.44,1123.33,1272.48,1218.33,1136.67,961.34,669.48,922.66,628.33,1052.58,1069.82,943.5,1082.5,45.78,44.2,38.11,39.86,39.91,38.26,35.31,35.78,38.99,35.24,33.46,30.91,6.46,6.42,5.97,6.400333333,5.84,5.7,5.46,5.65,5.74,5.75,5.45,5.61,3.37,3.28,3.04,3.15,3.06,3,2.92,3,3.02,2.87,2.79,2.68,45.22,42.44,41.22,40.89,38.62,32.58,32.39,32.21,35.7,43.16,34.28,31.64,37.67,39,36.33,35.5,41.17,24.33,40.17,22.58,38.67,38,36.67,28.83,76,75.33333333,75.33333333,72,63,66,77.88888889,76.33333333,79.22222222,62,61.66666667,65.66666667
AM3.45,938.33,1135.65,1183.33,973.5,856,610.98,900,580.83,779.17,954.65,910.92,995.5,43.68,40.03,36.93,33.81,38.35,35.16,33.18,32.48,37.58,33.65,31.46,27.91,6.69,6.58,6.18,6.456333333,5.98,5.89,5.64,5.78,5.98,5.99,5.61,5.75,3.23,3.07,2.91,2.9,2.91,2.81,2.74,2.77,2.89,2.74,2.64,2.48,39.33,41.67,42,37.67,31.45,30.88,37.49,28.53,33.72,35.04,31.17,33.81,41,44.67,43,37.67,43.5,24.33,40.67,26.5,44,37.67,40.5,36.17,87,85.33333333,85,81.66666667,71.66666667,76,90.88888889,88.22222222,89,72.11111111,72.88888889,73
AM3.46,963.33,1208.32,1185,1142,936,653.15,938.66,601.17,956.25,968.15,954.83,995.5,49.79,44.61,38.57,37.84,41.07,42,37.29,39.38,41.44,38.61,34.08,33.62,6.61,6.52,6.15,6.584,5.86,5.94,5.68,5.84,5.91,5.98,5.64,5.88,3.38,3.19,2.96,2.98,3,3.02,2.86,2.99,3,2.87,2.72,2.7,42.11,45.22,38.89,40.67,35.51,28.53,32.49,21.62,36.27,38.06,35.13,31.54,36.33,38.33,42.33,39.83,51.17,27.83,38.83,27,39.67,34.33,44.5,36.17,81.66666667,80.66666667,78.66666667,78.66666667,70.33333333,74,86.55555556,86.55555556,85,72.44444444,74.11111111,75.66666667
AM3.47,1055,1212.15,1101.67,1022.33,942.66,661.15,793.34,552.33,978.92,1013.98,923.67,1044.33,52.19,51.73,48.07,42.04,43.84,41.1,41.42,35.4,43.43,42.74,40.23,36.32,6.64,6.67,6.19,6.488333333,5.89,5.91,5.62,5.55,5.85,6.03,5.62,5.78,3.47,3.45,3.32,3.18,3.13,3.01,3.08,2.91,3.11,3.08,2.98,2.86,31.22,39.56,38.56,33.78,24.56,26.44,31.17,22.19,28.42,34.09,28.33,32.58,32.67,42.33,34.17,44,40.67,29,41.5,24.17,42.83,36.17,47.83,32,92,92.33333333,91.33333333,87.66666667,77.66666667,80.33333333,93.11111111,96.11111111,92.88888889,78.22222222,80.33333333,79.5
AM3.48,936.67,1188.32,1291.67,990.33,822.66,633.98,964,546.33,942.08,979.82,1005.83,1007.67,52.94,53.2,42.54,43.1,46.99,47.26,41.25,43.63,45.19,42.72,34.94,37.33,7.05,6.99,6.37,6.668666667,6.35,6.23,5.89,6.05,6.29,6.34,5.7,6.02,3.51,3.5,3.13,3.21,3.22,3.19,3.04,3.14,3.15,3.04,2.85,2.88,42.11,43.78,45.67,38.67,30.69,30.69,37.77,24.56,34.28,40.99,36.74,29.75,40.67,36,42.33,38.17,38.5,26.17,39,23.67,40,31.83,40.5,31.5,69.33333333,67,66.66666667,68.66666667,65.66666667,63.66666667,74.22222222,76.44444444,73.33333333,61,64.44444444,64.44444444
AM3.49,1401.67,1304.48,1278.33,1144,988,757.65,1024,630.83,1103.58,1020.65,1075.25,1135,45.9,43.47,40.03,37.59,39.69,41.6,36.96,37.58,38.35,35.13,33.75,32.06,6.45,6.29,5.89,6.373666667,5.77,5.68,5.4,5.56,5.71,5.74,5.31,5.51,3.41,3.32,3.15,3.08,3.09,3.14,3.01,3.07,3.03,2.88,2.86,2.78,44,45.56,42.11,38.89,39.1,30.79,31.64,26.54,35.33,39.67,33.52,30.88,45.67,42,43.5,43.5,44.33,25.83,45.33,23.5,45.83,35.67,54.33,33.33,74.33333333,74,73,71,62,62,80.11111111,78.33333333,76.44444444,63.77777778,66.22222222,63.77777778
AM3.50,836.67,1275.82,1231.67,1243.5,898.66,706.48,912,604,891.08,1088.65,994.5,1198.5,43.5,42.45,40.26,35.58,36.66,37.07,35.69,33.9,36.84,35.69,34.62,32.61,6.47,6.44,6.04,6.200333333,5.71,5.86,5.48,5.7,5.77,5.84,5.47,5.62,3.43,3.33,3.17,3.09,3.07,3.01,2.96,2.94,3.08,3,2.89,2.86,39.89,43.67,40.22,39.11,35.7,35.22,31.26,29.56,36.92,39.76,36.18,33.81,35.67,40.67,37.33,44.17,38,27.33,36.33,22.08,41.33,33.37,44.83,36.67,77.66666667,76.33333333,75.33333333,75.66666667,66.33333333,68.66666667,83.77777778,81.44444444,82.77777778,69.22222222,64.22222222,69.55555556
AM3.51,1152.5,1101.65,1273.33,881.5,990,570.9,974.66,541.5,1000.88,836.9,969,819.83,54.43,52.73,50.35,43.77,44.52,48.22,43.97,45.25,44.83,43.83,39.97,40.2,6.87,6.81,6.38,6.531333333,6.06,6.08,5.81,5.98,6.08,6.15,5.69,5.95,3.56,3.49,3.34,3.27,3.13,3.23,3.11,3.17,3.15,3.11,2.96,2.98,44.17,46.5,45.11,44.33,31.73,29.47,35.79,22.29,35.84,35.56,37.12,32.78,29.5,32,34,31.17,39.5,22.25,47,25,36.5,25.5,32.33,23.5,72.5,70,68.5,70.5,61.5,60,76.44444444,77.77777778,74.77777778,60.77777778,63.44444444,60.55555556
AM3.52,1131.67,1325.15,1285,1213,1054.66,713.82,1012,673.67,1028.5,1127.82,1117.75,1054.83,45.29,43.44,41.33,37.92,37.54,39.45,35.83,36.24,37.54,36.05,35.49,33.39,6.24,6.19,5.79,6.034333333,5.55,5.55,5.33,5.33,5.51,5.58,5.3,5.42,3.27,3.18,3.11,3.06,2.9,2.99,2.89,2.94,2.9,2.83,2.82,2.76,37.78,39.78,39.11,37.89,36.07,30.51,34,23.23,36.07,40.8,33.52,34.76,39.67,37,39.67,43.5,53.83,28,50.67,27.67,46.5,36.67,41,32,81.33333333,81,79.66666667,76.33333333,69,70.33333333,87.77777778,88.55555556,87.44444444,74.22222222,71.22222222,72.88888889
AM3.53,1186.67,1320.32,1185,1077.5,1061.34,738.98,969.34,652,1173,1105.98,1003,1029.67,49.37,46.75,43.61,39.39,41.94,41.56,38.06,36.24,40.97,38.94,36.62,34.43,6.18,6.07,5.81,6.011,5.48,5.45,5.27,5.24,5.44,5.5,5.24,5.33,3.45,3.36,3.22,3.16,3.08,3.08,3.01,2.98,3.08,2.99,2.9,2.86,36.67,39.22,36.11,39.89,31.26,29.38,31.08,25.98,31.17,34.94,31.17,32.11,41.33,45.33,43.17,39.83,47.33,30,50,26.08,34.67,42,43.33,30,78,79.33333333,78.66666667,76.33333333,66,69.33333333,83.33333333,84.66666667,83.22222222,68.55555556,67.66666667,68.55555556
AM3.54,843.33,954.82,1050,1004.33,821.34,559.48,808,558.83,896.75,834.98,840.08,963.5,49.61,46.98,42.34,41.01,42.99,41.68,37.46,37.17,41.8,40.06,35.08,34.69,6.81,6.69,6.3,6.557,6.03,6.09,5.78,5.81,6.05,6.11,5.74,5.8,3.45,3.31,3.09,3.15,3.12,3.07,2.92,2.99,3.09,2.94,2.78,2.81,39.67,39.67,39.56,37.78,34.85,31.45,33.43,24.17,35.51,37.68,38.73,32.87,30.33,31.17,39.67,39.83,34.33,22,35,25.17,29.83,31.67,38.17,32.83,83,84.33333333,82.33333333,82,69.33333333,75,84.33333333,85,83.44444444,72.66666667,72.33333333,75.33333333
AM3.55,1113.33,1297.32,1475,1268.17,1070.66,841.48,1193.34,795,1197.08,1172.32,1175.83,1142.17,46.31,40.74,42.57,36.96,36.52,42.9,37.31,39.81,37.33,37.63,35.69,34.67,6.55,6.53,6.22,6.381666667,5.8,5.94,5.71,5.83,5.82,6,5.69,5.74,3.26,3.05,3.06,2.95,2.82,3.06,2.85,3.02,2.86,2.85,2.77,2.75,36.33,36.78,38.11,36.67,28.24,27.11,32.02,24.37,31.08,34.66,30.88,30.32,46.83,52,48,46.5,65.33,33.67,52,26.5,48.17,32.67,56.67,37,91.33333333,93.33333333,91.33333333,91,81.33333333,81.33333333,95,97.77777778,94.22222222,78.88888889,80.33333333,80.66666667
AM3.56,1005,1175.15,1005,880,888,612.15,798.66,659.17,988.83,855.98,779.17,923.67,46.34,43.62,36.59,35.36,39.43,40.03,34.15,35.47,38.94,36.92,32.05,30.57,6.29,6.13,5.79,6.046,5.61,5.53,5.28,5.4,5.57,5.56,5.24,5.32,3.41,3.34,3.03,3.04,3.05,3.05,2.87,2.95,3.06,2.98,2.77,2.72,42.33,44.78,39.78,41.67,32.02,33.81,33.52,24.65,32.3,41.74,32.96,34.85,37.83,45,40.17,34.83,44.33,25.33,42.83,20.92,39.83,39.5,48.83,35.5,76,73.66666667,73.33333333,73,63.66666667,64.66666667,78.11111111,78.88888889,76.66666667,62.44444444,65.33333333,67.44444444
